"length","heigth","value","stock_id","id_assignment","id_job_type"
"40","30","1","9","710","2"
"57","40","1","9","719","1"
"35","30","1","9","722","1"
"19","10","1","9","722","1"
"40","30","1","9","725","1"
"50","30","1","9","725","1"
"20","30","1","9","726","3"
"22","48","1","9","723","2"
"19","8","1","9","723","2"
"60","40","1","9","724","1"
"40","25","1","9","730","1"
"50","22","1","9","629","2"
"30","20","1","9","729","2"
"60","40","1","9","715","2"
"30","20","1","9","732","1"
"32","20","1","9","737","1"
"40","25","1","9","736","1"
"50","30","1","9","735","1"
"30","20","1","9","734","1"
"30","20","1","9","733","2"
"60","40","3","9","720","2"
"20","20","2","9","720","2"
"40","30","1","9","740","1"
"40","25","1","9","741","2"
"40","30","1","9","744","1"
"35","30","1","9","749","1"
"48","27","1","9","748","1"
"50","25","1","9","751","1"
"35","30","1","9","751","1"
"40","30",,"9","739","2"
"50","28","0","9","752","1"
"40","30","1","9","738","2"
"30","20","1","9","755","1"
"30","15","1","9","753","1"
"35","60","1","9","776","1"
"15","20","1","9","780","1"
"30","20","1","9","796","1"
"50","30","1","9","798","1"
"30","20","1","9","802","3"
"50","30","1","9","689","2"
"52","40","1","9","792","1"
"40","30","1","9","799","1"
"60","40","1","9","826","1"
"32","56","1","9","827","1"
"58","40","1","9","832","1"
"60","35","1","9","831","1"
"40","30","1","9","836","1"
"48","30","1","9","833","1"
"39","30","1","9","833","1"
"10","15","1","9","833","1"
"40","30","1","9","842","1"
"30","20","1","9","840","1"
"40","30","1","9","840","1"
"27","20","0","9","839","1"
"15","15","0","9","844","1"
"15","15","1","9","844","1"
"60","40","1","9","846","1"
"30","20","1","9","846","1"
"5","10","1","9","846","1"
"30","20","1","9","845","1"
"15","20","1","9","851","1"
"54","40","1","9","828","2"
"30","20","1","9","847","2"
"25","20","1","9","852","1"
"50","15","1","9","848","1"
"35","28","1","9","855","1"
"35","28","1","9","855","1"
"35","28","1","9","855","1"
"36","25","1","9","856","1"
"5","14","1","9","856","1"
"3","4","1","9","856","1"
"40","30","1","9","742","2"
"47","25","1","9","858","1"
"34","37","1","9","706","2"
"17","20","1","9","706","2"
"30","20","1","9","857","1"
"38","30","1","9","861","1"
"60","40","1","9","862","1"
"32","20","1","9","853","2"
"30","20","1","9","864","1"
"52","40","1","9","868","2"
"58","40","1","9","863","1"
"57","40","1","9","843","2"
"60","35","1","9","866","1"
"30","20","1","9","870","1"
"30","20","1","9","867","2"
"30","20","1","9","872","1"
"30","20","1","9","876","1"
"30","45","1","9","873","1"
"47","27","1","9","877","1"
"30","40","1","9","875","1"
"30","20","1","9","879","1"
"40","30","1","9","878","1"
"82","33","1","9","871","1"
"23","13","0","9","871","1"
"50","30","2","9","859","2"
"30","20","1","9","881","1"
"45","40","1","9","884","1"
"40","30","1","9","885","1"
"50","30","1","9","883","2"
"50","30","1","9","883","2"
"39","25","1","9","886","1"
"40","30","1","9","880","2"
"50","40","1","9","865","2"
"25","20","1","9","891","1"
"30","20","1","9","893","1"
"42","30","1","9","894","1"
"15","10","1","9","892","1"
"48","30","1","9","895","1"
"30","20","1","9","903","1"
"30","20","1","9","897","1"
"45","26","1","9","897","1"
"30","20","1","9","898","1"
"20","30","1","9","899","1"
"50","30","1","9","902","1"
"35","27","1","9","901","1"
"30","20","1","9","911","1"
"30","30","1","9","912","1"
"50","30","2","9","910","1"
"50","30","1","9","900","1"
"30","20","1","9","905","2"
"45","35","1","9","913","1"
"30","20","1","9","915","1"
"30","20","1","9","915","1"
"60","40","1","9","916","1"
"30","20","1","9","916","1"
"50","30","1","9","916","1"
"12","7","1","9","889","2"
"38","26","1","9","889","2"
"23","29","1","9","889","2"
"50","30","1","9","921","1"
"12","7","1","9","889","2"
"23","20","1","9","889","2"
"38","26","1","9","889","2"
"30","20","1","9","917","2"
"45","26","1","9","917","2"
"100","44","1","9","924","2"
"30","20","1","9","927","1"
"50","30","1","9","925","4"
"30","20","1","9","928","1"
"60","40","1","9","926","1"
"12","20","1","9","882","1"
"45","30","1","9","929","1"
"40","30","1","9","930","3"
"30","20","1","9","922","2"
"32","30","1","9","932","1"
"15","20","1","9","935","1"
"60","40","1","9","931","1"
"42","30","1","9","941","1"
"20","30","1","9","937","1"
"40","25","1","9","942","1"
"50","10","1","9","943","1"
"32","35","1","9","944","1"
"39","20","1","9","946","1"
"35","23","1","9","945","1"
"40","30","1","9","938","1"
"50","120","1","9","934","1"
"40","30","1","9","939","2"
"30","20","1","9","947","1"
"40","40","1","9","952","1"
"30","20","1","9","953","1"
"40","40","1","9","957","2"
"50","40","1","9","955","1"
"30","20","1","9","956","1"
"40","30","1","9","949","1"
"40","30","1","9","949","1"
"32","30","1","9","959","1"
"50","30","1","9","954","1"
"35","25","1","9","965","1"
"30","20","1","9","960","1"
"30","20","1","9","963","1"
"40","45","1","9","958","1"
"15","20","1","9","970","1"
"30","20","1","9","975","2"
"40","30","1","9","976","1"
