"assignment_id","job_type"
"30231","2"
"30230","2"
"30229","1"
"30228","1"
"30227","1"
"30226","1"
"30225","1"
"30224","1"
"30223","2"
"30222","1"
"30221","2"
"30220","2"
"30219","2"
"30218","7"
"30217","1"
"30216","1"
"30215","1"
"30214","1"
"30213","1"
"30212","1,8"
"30211","1"
"30210","1"
"30209","3"
"30208","2"
"30207","3"
"30206","1"
"30205","1"
"30204","1"
"30203","1,8"
"30202","1"
"30201","1"
"30200","11"
"30199","1"
"30197","8"
"30196","1"
"30195","8"
"30194","1"
"30193","1"
"30192","1"
"30191","1"
"30190","1"
"30189","1"
"30188","1"
"30187","2"
"30186","1,8"
"30185","11"
"30184","1"
"30183","1"
"30182","1"
"30181","2"
"30180","1"
"30179","1"
"30178","3"
"30177","1"
"30176","1"
"30175","1"
"30174","1,8"
"30173","1"
"30172","1"
"30171","1"
"30170","1"
"30169","1"
"30168","7"
"30167","2"
"30166","1"
"30165","2"
"30164","1"
"30163","1"
"30162","2"
"30161","1"
"30160","1"
"30159","1"
"30158","1"
"30157","1"
"30156","8"
"30155","7"
"30154","1"
"30153","1"
"30152","1"
"30151","1"
"30150","2,7"
"30149","1"
"30148","1,8"
"30147","1,8"
"30146","2"
"30145","3"
"30144","1"
"30143","1,11"
"30142","1"
"30141","8"
"30140","1,8"
"30139","1"
"30138","1"
"30137","2"
"30136","1"
"30135","1"
"30134","8"
"30133","1"
"30132","1"
"30131","1"
"30130","1"
"30128","1"
"30127","8"
"30126","3"
"30125","3"
"30124","1"
"30123","1"
"30122","1"
"30121","1,8"
"30120","8"
"30119","1"
"30118","3"
"30117","1"
"30116","1"
"30115","1"
"30114","2"
"30113","1,8"
"30112","2"
"30111","8"
"30110","1"
"30109","1"
"30108","1"
"30107","2"
"30106","1"
"30105","1"
"30104","1"
"30103","7"
"30102","1"
"30101","1"
"30100","1"
"30099","1"
"30098","3"
"30097","1"
"30096","1"
"30095","1"
"30094","1"
"30093","3"
"30092","1"
"30091","1"
"30090","1"
"30089","1"
"30088","1"
"30087","1"
"30086","8"
"30085","1"
"30084","1"
"30083","3"
"30082","1"
"30081","1"
"30080","1"
"30079","1"
"30078","1"
"30077","1,8"
"30076","1"
"30075","2"
"30074","8"
"30073","1,11"
"30072","1"
"30071","1"
"30070","7"
"30069","1"
"30068","1"
"30067","1"
"30066","1"
"30065","1"
"30064","1"
"30063","1"
"30062","1"
"30061","1"
"30060","1"
"30059","1"
"30058","1"
"30057","2"
"30056","1"
"30055","1"
"30054","1"
"30053","8"
"30052","7"
"30051","2"
"30050","1"
"30049","1"
"30048","8"
"30047","3"
"30046","1"
"30045","1"
"30044","1"
"30043","1,8"
"30042","3"
"30041","3"
"30040","1"
"30039","1"
"30038","1"
"30037","3"
"30036","1"
"30035","1"
"30034","1"
"30033","1"
"30032","1"
"30031","8"
"30030","7"
"30029","2"
"30028","2"
"30027","1"
"30026","4"
"30025","1"
"30024","3"
"30023","1"
"30022","1,8"
"30021","1"
"30020","1"
"30019","1"
"30018","4"
"30017","1"
"30016","1"
"30015","3"
"30014","1"
"30013","2"
"30012","2"
"30011","1"
"30010","1"
"30009","1"
"30008","2"
"30007","1"
"30006","1"
"30005","1"
"30004","1"
"30003","1"
"30001","1"
"29999","2"
"29998","1"
"29997","1"
"29996","1"
"29995","1"
"29994","1"
"29993","1"
"29992","1"
"29990","1,11"
"29989","2"
"29988","1"
"29987","3"
"29986","2"
"29985","1"
"29984","1"
"29983","1"
"29982","1"
"29981","4"
"29980","7"
"29979","1"
"29978","1"
"29977","2"
"29976","2"
"29975","2"
"29974","1"
"29973","1"
"29972","1"
"29971","1,8"
"29970","1"
"29969","7"
"29968","1"
"29967","7"
"29966","1"
"29964","1"
"29963","1"
"29962","7"
"29961","11"
"29960","1"
"29959","7"
"29958","1"
"29957","1"
"29956","1"
"29955","1"
"29954","1"
"29953","1"
"29952","1"
"29950","1"
"29949","1"
"29948","1"
"29947","1"
"29946","1"
"29945","1"
"29944","2"
"29943","1"
"29942","1"
"29941","1"
"29940","2"
"29939","2"
"29938","1"
"29937","1"
"29936","1"
"29935","11"
"29934","1,11"
"29933","1"
"29932","1"
"29931","2"
"29930","1"
"29929","1"
"29928","1"
"29927","1"
"29926","1"
"29925","1"
"29924","3"
"29923","1,11"
"29922","1"
"29921","1,11"
"29920","1"
"29919","1"
"29918","1"
"29917","1"
"29916","1"
"29915","7"
"29914","1"
"29913","1"
"29912","1"
"29911","1,11"
"29910","1"
"29909","1"
"29908","1"
"29907","1"
"29906","3"
"29905","3"
"29904","3"
"29903","3"
"29902","1"
"29901","3"
"29900","1"
"29899","1,11"
"29898","1"
"29897","1"
"29896","1"
"29895","11"
"29894","1"
"29893","1,8"
"29892","1"
"29891","1"
"29890","1"
"29889","1,11"
"29888","1,11"
"29887","1"
"29886","1"
"29885","1"
"29884","3"
"29883","1"
"29882","1"
"29881","1"
"29880","1"
"29879","1"
"29878","1"
"29877","1"
"29876","1"
"29875","1"
"29874","3"
"29873","1"
"29872","1"
"29871","1"
"29870","1"
"29869","1"
"29868","2"
"29867","3"
"29866","1"
"29865","1"
"29864","2"
"29863","7"
"29862","1"
"29861","1"
"29860","1"
"29859","3"
"29858","1"
"29857","1"
"29856","1"
"29855","1"
"29854","1"
"29853","1,7"
"29852","1"
"29851","1"
"29850","1"
"29849","1"
"29848","1"
"29847","1"
"29846","1"
"29845","1"
"29844","2"
"29843","1"
"29842","3"
"29840","4"
"29839","1"
"29838","7"
"29837","2"
"29836","1"
"29835","2"
"29833","1"
"29832","1"
"29831","7"
"29830","1"
"29828","1"
"29827","7"
"29826","1"
"29825","1"
"29824","4"
"29823","4"
"29822","1"
"29821","1"
"29820","2"
"29819","1"
"29818","7"
"29817","3"
"29816","1"
"29815","1"
"29813","2"
"29812","3"
"29811","1"
"29810","2"
"29809","1"
"29808","1"
"29807","2"
"29806","1"
"29805","1"
"29804","1"
"29803","1"
"29802","1"
"29801","1"
"29800","1"
"29799","1"
"29798","1"
"29797","2"
"29796","1"
"29795","2"
"29794","4"
"29793","1"
"29792","2"
"29791","4"
"29790","1"
"29789","1"
"29788","1,11"
"29787","2"
"29786","2"
"29785","1"
"29784","1"
"29783","1"
"29782","1"
"29781","1"
"29780","2"
"29779","1"
"29778","1"
"29777","1"
"29776","1"
"29775","1"
"29774","1"
"29773","1"
"29772","1"
"29771","2"
"29770","1"
"29769","1"
"29768","1"
"29767","1"
"29766","1"
"29765","3"
"29764","1"
"29763","1"
"29762","1"
"29761","1"
"29760","1"
"29759","1"
"29758","1"
"29757","1"
"29756","1"
"29755","1"
"29754","1"
"29753","2"
"29752","1"
"29751","1"
"29750","3"
"29749","1"
"29748","1"
"29747","1"
"29746","2"
"29745","1"
"29744","1"
"29743","3"
"29742","1"
"29741","8"
"29740","1"
"29739","1"
"29738","8"
"29737","2"
"29735","1"
"29734","1"
"29733","1"
"29732","3"
"29731","1"
"29730","1"
"29729","3"
"29728","2"
"29727","1"
"29726","2"
"29725","1"
"29724","2"
"29723","1"
"29722","3"
"29721","3"
"29720","1"
"29719","1"
"29718","2"
"29717","2"
"29716","2"
"29715","2"
"29714","1"
"29713","1"
"29712","1"
"29711","2"
"29710","1"
"29709","1"
"29708","7"
"29707","4"
"29706","1"
"29705","7"
"29704","2"
"29703","1"
"29702","8"
"29701","1"
"29700","1"
"29699","1"
"29698","1"
"29697","1"
"29696","1"
"29695","1"
"29694","1"
"29693","1"
"29692","2"
"29691","1"
"29690","1"
"29689","3"
"29688","1"
"29687","1"
"29686","7"
"29685","1"
"29684","1"
"29683","1"
"29682","1"
"29681","1"
"29680","1"
"29679","1"
"29678","1"
"29677","1"
"29676","1"
"29675","1"
"29674","1"
"29673","1"
"29672","1"
"29671","1"
"29670","1"
"29669","1"
"29668","1"
"29667","3"
"29666","1"
"29665","1"
"29664","2"
"29663","4"
"29662","1"
"29661","2"
"29660","1"
"29659","2"
"29658","1"
"29657","3"
"29656","1"
"29655","1"
"29654","1"
"29653","1"
"29652","1"
"29651","1"
"29650","11"
"29649","1"
"29648","1"
"29647","1"
"29646","3"
"29645","1"
"29644","1"
"29643","1"
"29642","1"
"29641","1,8"
"29640","1"
"29639","1"
"29638","1"
"29637","7"
"29636","1"
"29635","1"
"29634","1"
"29633","8"
"29632","2"
"29631","1"
"29630","1"
"29629","1"
"29628","1"
"29627","1"
"29625","1"
"29624","1"
"29623","1"
"29622","3"
"29621","1"
"29620","1"
"29619","1"
"29618","1"
"29617","7"
"29616","7"
"29615","1"
"29613","1"
"29612","1"
"29611","2"
"29610","1"
"29609","1"
"29608","8"
"29607","1"
"29605","2"
"29604","1"
"29603","1"
"29602","1"
"29601","1"
"29600","1"
"29599","2"
"29598","1"
