"id","billed_invoce","paid_date","paid_amount","parcial_payment_one_date","parcial_payment_one","parcial_payment_two_date","parcial_payment_two","status"
"7369","7045.03.21","2021-4-23","1892.89","2021-4-23","1214.87","2021-4-23","678.02","paid"
"7420","7116.04.21","2021-7-2","5034.16","2021-7-2","2555.08","2021-7-2","2479.08","paid"
"7438","7093","2021-9-27","5430.31","2021-8-12","320.8","2021-9-27","5092.36","paid"
"7457","7089.04.21","2021-5-28","1030.5","2021-5-3","780.5","2021-5-28","250","paid"
"7467","7123","2021-5-3","919.93","2021-4-27","419.93","2021-5-3","500","paid"
"7487","7130","2021-9-27","470.6","2021-8-12","42.53","2021-9-27","428.07","paid"
"7498","7151",,,"2022-6-23","100",,,"partial_paid"
"7506","7148","2021-6-8","2707.4","2021-5-12","1407.55","2021-6-8","1299.85","paid"
"7541","7184","2021-8-9","2330.71","2021-7-9","1417.5","2021-8-9","913.21","paid"
"7584","7206","2021-9-15","546","2021-9-15","312.14","2021-9-15","233.86","paid"
"7626","7243","2021-9-27","4054.72","2021-9-3","1306.95","2021-9-27","2747.77","paid"
"7661","7262","2021-9-27","2027.56","2021-8-6","1371.46","2021-9-27","656.1","paid"
"7724","7950","2022-3-15","846","2021-10-18","94","2022-3-15","752","paid"
"7762","7334","2021-8-6","2848.56","2021-7-9","1407.55","2021-8-6","1441.01","paid"
"7787","7375.06.21","2021-8-6","2207.02","2021-8-6","799.47","2021-7-14","708.75","paid"
"7791","7366.06.21","2021-8-20","2212.69","2021-7-22","1407.55","2021-8-20","805.14","paid"
"7797","7383 7384","2021-6-23","20281.16","2021-6-23","17701.16","2021-6-23","2580","paid"
"7804","7385-7386.06.21","2022-1-18","6222.58","2021-9-2","250","2022-1-18","3343.6","paid"
"7829","7443.06.21","2021-9-27","10234.99","2021-8-12","1044.22","2021-9-27","9190.77","paid"
"7830","7405 & 7406","2021-7-26","4272.09","2021-7-6","2486.48","2021-7-26","1785.61","paid"
"7831","7401 & 7404","2021-7-14","2498.94","2021-7-14","1815.79","2021-7-14","683.15","paid"
"7846","7412.06.21",,,"2022-5-10","100","0-0-0",,"partial_paid"
"7873","7432.06.21","2022-3-7","2447.05","2022-2-4","1407.55","2022-3-7","1039.5","paid"
"7909","7474  7475","2021-9-2","2989.26","2021-9-2","1957.35","2021-9-2","1031.91","paid"
"7942","7489.06.21","2021-9-27","2667.79","2021-8-6","1329.67","2021-9-27","1338.12","paid"
"8060","7656",,,"2021-12-14","8323.13","2022-6-2","8570.24","paid"
"8083","7610","2021-8-12","1760.6","2021-8-6","695.74","2021-8-12","1064.86","paid"
"8151","7668","2022-2-4","1675.64","2021-12-28","1311.11","2022-2-4","268.09","paid"
"8191","7860 & 9850","2021-12-2","9714.03","2021-12-2","1742.75","2021-12-2","5306.38","paid"
"8230","7779  7782","2022-1-11","6893.14","2021-12-23","4201.11","2022-1-11","2692.03","paid"
"8329","7822","2022-2-21","2274.58","2022-1-21","1407.55","2022-2-21","867.03","paid"
"8357","7835","2021-8-20","2667.23","2021-8-9","1407.55","2021-8-20","1259.68","paid"
"8424","7908&7909","2021-9-3","2178.48","2021-9-3","865.72","2021-9-3","1312.76","paid"
"8468","7927","2021-11-12","2035.97","2021-10-6","1407.55","2021-11-12","628.42","paid"
"8474","7944","2022-2-4","3297.55","2021-9-27","1407.55","2022-2-4","1890","paid"
"8565","8025","2021-9-3","2147.48","2021-9-2","1987.27","2021-9-3","160.21","paid"
"8573","8093","2022-1-12","10374.57","2021-8-26","9374.57","2022-1-12","1000","paid"
"8579","8048&8051","2021-8-20","3597.35","2021-8-20","1125.39","2021-8-20","2471.96","paid"
"8587","8042","2022-1-18","3996.83","2021-12-31","1067.33","2022-1-18","2929.5","paid"
"8588","8053","2021-12-15","2163.55","2021-10-6","1407.55","2021-12-15","756","paid"
"8602","8056","2021-12-20","1275.5","2021-11-16","815.25","2021-12-20","460.25","paid"
"8629","8083","2022-1-13","1086.88","2022-1-13","1070.66","2022-1-13","16.22","paid"
"8649","8095","2022-1-13","2076.76","2021-11-17","1320.76","2022-1-13","756","paid"
"8717","8140","2022-2-28","2069.05","2022-1-21","1407.55","2022-2-28","661.5","paid"
"8733","8127","2021-8-16","1800","2021-8-13","1300","2021-8-16","500","paid"
"8829","8230",,,"2021-10-7","920.88","2021-11-10","254.58","paid"
"8867","8253",,"2038.81","2021-10-6","1407.55","2021-12-31","631.26","paid"
"8888","8274","2019-4-11","2200","2021-12-21","733.33","2022-1-19","733.34","paid"
"8957","8296","2021-12-31","2467.6","2021-9-15","2408.05","2021-12-13","59.55","paid"
"9100","8499","2022-2-4","3284.41","2021-11-10","1058.66","2022-2-4","2115.75","paid"
"9117","8649","2021-11-30","3297.55","2021-10-21","1407.55","2021-11-30","1890","paid"
"9229","8457","2021-10-25","5180","2021-10-25","414.4","2021-10-13","4765.6","paid"
"10611","8516","2019-4-11","1715","2022-1-7","1500","2022-2-9","283","paid"
"10637","8655","2021-11-12","3297.55","2021-12-12","1797.55","2021-11-12","1500","paid"
"11562","8478","2021-10-13","6918.16","2021-10-13","6876.15","2021-10-13","42.01","paid"
"11792","8504","2022-1-14","2431.19","2022-1-14","105","2022-1-14","350.2","paid"
"14711","8464",,"3067.5","2021-10-14","918","2021-10-15","2149.5","paid"
"15429","8725","2021-10-25","7935.98","2021-10-1","7395.98","2021-10-25","540","paid"
"27614","8684","2022-2-15","3297.55","2022-1-21","1880.55","2022-2-15","1417.5","paid"
"27755","9136","2022-1-4","1953.4","2021-12-10","1610","2022-1-4","343.4","paid"
"27879","8703","2022-2-9","2146.93","2021-12-27","1407.55","2022-2-9","739.38","paid"
"28040","8766","2021-10-27","411.99","2021-9-27","50.1","2021-10-27","361.89","paid"
"28073","9224",,,"2021-10-15","483.69",,,"partial_paid"
"28135","9220",,,"2021-10-15","2552.1",,,"partial_paid"
"28236","8903","2021-12-7","5553.13","2021-11-8","3768.47","2021-12-7","2029.41","paid"
"28345","9034",,"2757.99","2021-10-21","397.95","2021-10-21","2360.04","paid"
"28724","9708",,,"2022-6-30","60",,,"partial_paid"
"28920","9889","2022-1-14","4613.16","2021-12-15","1011.5","2022-1-14","3601.66","paid"
"29063","10007",,,"2022-1-5","237.5",,,"partial_paid"
"29087","10024","2022-1-26","2740.13","2022-1-26","2532.14","2022-1-26","207.99","paid"
"29193","10100","2022-1-10","1000","2021-12-21","500","2022-1-10","500","paid"
"29391","10249","2021-12-8","1500","2021-12-7","750","2021-12-8","750","paid"
"29964","10742",,"2379.26","2022-3-21","1000","2022-4-4","1379.26","paid"
"30085","10833",,"2055.44","2022-5-10","1868.91","2022-5-24","186.53","paid"
"30425","11121 and 11122","2022-5-31","2177.27","2022-5-31","716.83","2022-5-31","1460.44","paid"
"30440","11133 and 11134","2022-5-31","6012.46","2022-5-31","4618.46","2022-5-31","1394","paid"
"30712","11331",,,"2022-6-8","1000","2022-6-20","10641.47","paid"
"30797","11428",,,"2022-6-21","9595.79","2022-6-21","2697.75","paid"
"30945","11525",,,"2022-6-17","1000",,,"partial_paid"
