"assignment_id","id","created_by","updated_by","start_date","end_date"
"7324","14","73","73","2021-3-9 16:00:00","2021-3-9 17:00:00"
"7326","14","73","73","2021-3-10 09:00:00","2021-3-10 10:00:00"
"7327","8","73","73","2021-3-11 08:00:00","2021-3-11 09:00:00"
"7329","31","73","73","2021-3-11 08:30:00","2021-3-11 09:30:00"
"7331","8","73","73","2021-3-11 14:30:00","2021-3-11 15:30:00"
"7332","31","73","73","2021-3-12 11:00:00","2021-3-12 12:00:00"
"7333","35","73","73","2021-3-11 15:00:00","2021-3-11 16:00:00"
"7334","35","73","73","2021-3-11 17:00:00","2021-3-11 18:00:00"
"7335","31","73","73","2021-3-12 09:00:00","2021-3-12 10:00:00"
"7336","24","73","73","2021-3-13 09:00:00","2021-3-13 10:00:00"
"7337","24","73","73","2021-3-15 15:00:00","2021-3-15 16:00:00"
"7338","31","73","73","2021-3-16 08:00:00","2021-3-16 09:00:00"
"7339","10","73","73","2021-3-16 13:00:00","2021-3-16 14:00:00"
"7340","8","73","73","2021-3-18 11:00:00","2021-3-18 12:00:00"
"7341","14","73","73","2021-3-17 13:00:00","2021-3-17 14:00:00"
"7342","31","73","73","2021-3-23 09:00:00","2021-3-23 10:00:00"
"7345","31","73","73","2021-3-18 10:00:00","2021-3-18 11:00:00"
"7346","8","73","73","2021-3-17 04:00:00","2021-3-17 05:00:00"
"7347","24","73","73","2021-3-18 08:00:00","2021-3-18 09:00:00"
"7348","31","73","73","2021-3-18 16:00:00","2021-3-18 17:00:00"
"7349","8","73","73","2021-3-23 11:00:00","2021-3-23 12:00:00"
"7350","8","73","73","2021-3-18 16:30:00","2021-3-18 17:30:00"
"7351","8","73","73","2021-3-19 11:00:00","2021-3-19 12:00:00"
"7352","8","73","73","2021-3-19 09:00:00","2021-3-19 10:00:00"
"7353","24","73","73","2021-3-19 14:00:00","2021-3-19 15:00:00"
"7354","10","73","73","2021-3-23 09:00:00","2021-3-23 10:00:00"
"7355","8","73","73","2021-3-19 14:00:00","2021-3-19 15:00:00"
"7356","24","73","73","2021-3-19 17:00:00","2021-3-19 18:00:00"
"7357","8","73","73","2021-3-22 13:30:00","2021-3-22 14:30:00"
"7358","8","73","73","2021-3-24 10:00:00","2021-3-24 11:00:00"
"7359","10","73","73","2021-3-21 10:00:00","2021-3-21 11:00:00"
"7360","10","73","73","2021-3-22 12:00:00","2021-3-22 13:00:00"
"7361","8","73","73","2021-3-31 10:00:00","2021-3-31 11:00:00"
"7362","35","73","73","2021-3-22 16:00:00","2021-3-22 17:00:00"
"7363","2","73","73","2021-3-22 18:00:00","2021-3-22 19:00:00"
"7364","2","73","73","2021-3-23 10:00:00","2021-3-23 11:00:00"
"7365","8","73","73","2021-3-23 09:00:00","2021-3-23 10:00:00"
"7366","10","73","73","2021-3-24 09:00:00","2021-3-24 10:00:00"
"7367","1","73","73","2021-3-24 10:00:00","2021-3-24 11:00:00"
