"id","name","class","ordem","active"
"2","take_action","take_action","10","Y"
"3","waiting_billing","waiting_billing","1","Y"
"4","email_sent","email_sent","40","Y"
"5","billed","billed","5","Y"
"6","paid","paid","70","Y"
"9","lien_placed","lien_placed","50","Y"
"11","left_message","left_message","15","Y"
"19","pending_solution","pending_solution","60","Y"
"21","called","called","30","Y"
"22","payment_agreement","payment_agreement","65","Y"
