"assignment_id"	"tech_id"	"created_by"	"updated_by"	"start_date"	"end_date"
"1876"	"6"	"73"	"73"	"2020-2-27 16:00:00"	"2020-2-27 17:00:00"
"1877"	"15"	"73"	"73"	"2020-3-6 14:00:00"	"2020-3-6 15:00:00"
"1878"	"15"	"73"	"73"	"2020-2-29 09:00:00"	"2020-2-29 10:00:00"
"1879"	"15"	"73"	"73"	"2020-3-10 13:00:00"	"2020-3-10 14:00:00"
"1880"	"15"	"73"	"73"	"2020-3-3 13:00:00"	"2020-3-3 14:00:00"
"1881"	"15"	"73"	"73"	"2020-3-6 08:00:00"	"2020-3-6 09:00:00"
"1882"	"15"	"73"	"73"	"2020-3-2 15:30:00"	"2020-3-2 16:30:00"
"1883"	"15"	"73"	"73"	"2020-3-11 13:00:00"	"2020-3-11 14:00:00"
"1884"	"7"	"73"	"73"	"2020-3-4 13:00:00"	"2020-3-4 14:00:00"
"1885"	"15"	"73"	"73"	"2020-3-3 16:00:00"	"2020-3-3 17:00:00"
"1886"	"15"	"73"	"73"	"2020-3-4 10:30:00"	"2020-3-4 11:30:00"
"1888"	"4"	"73"	"73"	"2020-3-5 08:00:00"	"2020-3-5 09:00:00"
"1889"	"15"	"73"	"73"	"2020-3-5 09:00:00"	"2020-3-5 10:00:00"
"1890"	"15"	"73"	"73"	"2020-3-5 15:00:00"	"2020-3-5 16:00:00"
"1891"	"15"	"73"	"73"	"2020-3-6 10:00:00"	"2020-3-6 11:00:00"
"1894"	"7"	"73"	"73"	"2020-3-6 14:00:00"	"2020-3-6 15:00:00"
"1895"	"4"	"73"	"73"	"2020-3-9 14:00:00"	"2020-3-9 15:00:00"
"1896"	"7"	"73"	"73"	"2020-3-10 10:00:00"	"2020-3-10 11:00:00"
"1897"	"4"	"73"	"73"	"2020-3-6 08:00:00"	"2020-3-6 09:00:00"
"1898"	"4"	"73"	"73"	"2020-3-10 10:00:00"	"2020-3-10 11:00:00"
"1899"	"4"	"73"	"73"	"2020-3-9 10:00:00"	"2020-3-9 11:00:00"
"1900"	"15"	"73"	"73"	"2020-3-10 11:30:00"	"2020-3-10 12:30:00"
"1902"	"15"	"73"	"73"	"2020-3-11 09:00:00"	"2020-3-11 10:00:00"
"1903"	"4"	"73"	"73"	"2020-3-10 14:00:00"	"2020-3-10 15:00:00"
"1905"	"1"	"73"	"73"	"2020-3-11 17:00:00"	"2020-3-11 18:00:00"
"1906"	"15"	"73"	"73"	"2020-3-11 15:00:00"	"2020-3-11 16:00:00"
"1907"	"15"	"73"	"73"	"2020-3-13 10:00:00"	"2020-3-13 11:00:00"
"1908"	"15"	"73"	"73"	"2020-3-13 11:00:00"	"2020-3-13 12:00:00"
"1910"	"15"	"73"	"73"	"2020-3-30 14:30:00"	"2020-3-30 15:30:00"
"1911"	"15"	"73"	"73"	"2020-3-13 14:00:00"	"2020-3-13 15:00:00"
"1912"	"1"	"73"	"73"	"2020-3-13 16:00:00"	"2020-3-13 17:00:00"
"1913"	"1"	"73"	"73"	"2020-3-13 11:00:00"	"2020-3-13 12:00:00"
"1914"	"7"	"73"	"73"	"2020-3-16 10:00:00"	"2020-3-16 11:00:00"
"1915"	"15"	"73"	"73"	"2020-3-17 11:00:00"	"2020-3-17 12:00:00"
"1916"	"7"	"73"	"73"	"2020-3-16 12:00:00"	"2020-3-16 13:00:00"
"1917"	"1"	"73"	"73"	"2020-3-17 09:00:00"	"2020-3-17 10:00:00"
"1918"	"1"	"73"	"73"	"2020-3-17 11:00:00"	"2020-3-17 12:00:00"
"1919"	"1"	"73"	"73"	"2020-3-17 11:00:00"	"2020-3-17 12:00:00"
"1920"	"1"	"73"	"73"	"2020-3-17 16:00:00"	"2020-3-17 17:00:00"
"1921"	"1"	"73"	"73"	"2020-3-17 16:00:00"	"2020-3-17 17:00:00"
"1922"	"1"	"73"	"73"	"2020-3-18 09:00:00"	"2020-3-18 10:00:00"
"1924"	"1"	"73"	"73"	"2020-3-18 12:00:00"	"2020-3-18 13:00:00"
"1925"	"1"	"73"	"73"	"2020-3-18 12:00:00"	"2020-3-18 13:00:00"
"1927"	"15"	"73"	"73"	"2020-3-21 09:00:00"	"2020-3-21 10:00:00"
"1928"	"7"	"73"	"73"	"2020-3-23 16:00:00"	"2020-3-23 17:00:00"
"1929"	"7"	"73"	"73"	"2020-3-26 11:00:00"	"2020-3-26 12:00:00"
"1930"	"7"	"73"	"73"	"2020-3-25 11:00:00"	"2020-3-25 12:00:00"
