"id_assignment","id_job_type","report"
"7515","1","4,26,"
"7519","1","4,27,"
"7503","2","20,30,"
"7520","1","15,31,"
"7521","1","15,31,"
"7526","1","32,34,"
"7531","1","32,34,"
"7530","1","4,26,"
"7528","1","15,31,"
"7532","1","15,31,"
"7536","3","15,31,"
"7538","1","15,31,"
"7539","1","32,34,"
"7545","1","32,34,"
"7544","1","15,31,"
"7527","1","20,30,"
"7543","1","32,34,"
"7529","1","32,34,"
"7533","1","15,31,"
"7549","1","15,31,"
"7551","1","15,31,"
"7547","1","32,34,"
"7541","1","4,15,26,"
"7541","1","4,15,26,31,"
"7534","1","4,27,"
"7523","7","32,34,"
"7561","1","20,30,"
"7558","1","4,27,"
"7537","2","15,31,"
"7516","7","20,30,"
"7560","1","32,34,"
"7518","2","15,31,"
"7564","1","4,27,"
"7565","1","32,34,"
"7422","1","28,29,"
"7552","7","26,35,"
"7517","2","32,34,"
"7572","4","4,"
"7573","1","32,34,"
"7507","7","15,"
"7567","1","15,31,"
"7575","1","15,31,"
"7559","1","20,30,"
"7576","1","20,30,"
"7577","1","20,30,"
"7563","1","4,27,"
"7577","11","20,30,"
"7579","1","31,32,34,"
"7584","1","31,32,34,"
"7588","3","4,27,"
"7591","4","15,26,"
"7589","1","27,35,"
"7590","2","27,35,"
"7562","7","31,34,"
"7592","1","27,35,"
"7574","2","15,26,"
"7596","1","15,26,"
"7540","7","4,"
"7583","2","26,35,"
"7570","2","4,32,"
"7595","4","35,"
"7600","1","4,32,"
"7550","2","34,"
"7391","2","15,26,"
"7606","8","1,15,26,"
"7603","2","1,15,26,"
"7608","1","31,34,"
"7610","2","1,21,"
"7611","1","31,34,"
"7604","1","20,30,"
"7612","1","31,34,"
"7602","2","21,26,"
"7609","1","31,34,"
"7594","1","31,34,"
"7614","1","4,26,"
"7613","2","4,26,"
"7617","1","31,34,"
"7618","1","20,30,"
"7620","3","4,26,"
"7619","7","31,"
"7581","7","4,26,"
"7615","7","34,"
"7622","8","20,30,"
"7625","1","31,34,"
"7622","1","20,30,"
"7626","1","31,34,"
"7607","2","4,26,"
"7631","1","1,35,"
"7621","1","20,30,"
"7628","7","34,"
"7633","1","31,34,"
"7634","1","31,34,"
"7630","1","4,26,"
"7632","2","4,21,26,"
"7627","1","31,34,"
"7638","1","21,27,"
"7624","7","34,"
"7629","1","1,35,"
"7649","1","15,26,"
"7623","7","4,"
"7650","3","15,26,"
"7616","2","31,34,"
"7653","1","31,34,"
"7661","1","26,35,"
"7662","1","31,34,"
"7665","2","1,15,21,"
"7671","1","21,26,"
"7664","1","31,34,"
"7656","1","15,"
"7666","2","31,34,"
"7648","2","4,21,"
"7667","1","31,34,"
"7667","11","31,34,"
"7672","1","4,21,"
"7640","1","21,27,"
"7676","1","16,20,32,"
"7675","1","26,35,"
"7681","4","26,35,"
"7676","11","16,20,32,"
"7686","1","1,31,"
"7679","1","16,20,32,"
"7688","1","26,35,"
"7690","1","1,31,"
"7687","2","26,35,"
"7693","1","4,21,"
"7692","1","1,31,"
"7680","1","16,20,32,"
"7684","1","1,31,"
"7678","1","1,16,20,31,32,"
"7694","1","1,4,31,32,"
"7701","1","4,32,"
"7695","1","1,31,"
"7700","1","1,31,"
"7646","2","20,32,"
"7702","1","4,32,"
"7703","1","1,31,"
"7705","1","4,32,"
"7706","1","4,32,"
"7708","7","27,34,"
"7714","3","1,31,"
"7711","1","4,32,"
"7713","1","4,32,"
"7716","1","4,32,"
"7712","1","27,34,"
"7709","7","27,34,"
"7721","1","26,"
"7719","1","15,20,"
"7698","1","4,21,32,35,"
"7720","8","27,34,"
"7718","1","20,21,"
"7723","12","1,"
"7725","1","4,32,"
"7732","1","20,30,"
"7729","1","1,31,"
"7726","1","1,31,"
"7697","7","27,34,"
"7724","2","20,32,"
"7733","1","20,32,"
"7730","1","4,30,"
"7736","1","20,32,"
"7737","1","4,30,"
"7738","1","4,30,"
"7739","1","4,30,"
"7728","2","15,26,"
"7740","1","15,26,"
